60.0963,19.923
60.0853,19.9274
60.0833,19.9274
60.0773,19.9269
60.0693,19.923
60.0953,19.9234
60.0873,19.9266
60.0793,19.9274
60.0663,19.918
60.0883,19.9262
60.0823,19.9274
60.0813,19.9274
60.0753,19.9263
60.0647,19.914
60.0943,19.9238
60.0933,19.9242
60.0893,19.9258
60.0803,19.9274
60.0723,19.925
60.0713,19.9244
60.0673,19.92
60.0923,19.9246
60.0733,19.9255
60.0703,19.9237
60.0683,19.922
60.0903,19.9254
60.0783,19.9272
60.0913,19.925
60.0843,19.9274
60.0763,19.9266
60.0743,19.926
60.0863,19.927
60.0653,19.916
